v1,v2,v3,v4,v5,t1,t2,annotation,radiation rate,timestamp
1.9,1.44,1.12,0.68,3.39,28.25,28.0,0,5137,1580981470.97036
1.78,1.29,1.0,0.71,3.37,27.25,27.5,0,5137,1580981473.2160099
1.9,1.39,1.12,0.73,3.37,27.5,27.5,0,5137,1580981473.8549
1.78,1.29,1.12,0.68,3.39,27.75,27.75,0,5137,1580981474.49387
1.88,1.44,1.03,0.68,3.3,28.0,27.5,0,5137,1580981475.12874
1.78,1.34,1.0,0.71,3.37,28.0,28.25,0,5137,1580981475.76769
1.78,1.29,1.0,0.73,3.37,28.5,27.5,0,5137,1580981476.40659
1.83,1.39,1.05,0.71,3.37,28.0,28.0,0,5137,1580981477.04148
1.83,1.39,1.05,0.71,3.37,28.0,28.0,0,5137,1580981477.6803901
1.83,1.39,1.03,0.73,3.34,28.0,28.0,0,5137,1580981478.31937
1.78,1.42,0.95,0.68,3.3,28.0,28.0,0,5137,1580981478.95425
1.83,1.39,1.05,0.73,3.37,28.5,28.0,0,5137,1580981479.5932
1.9,1.29,1.12,0.68,3.39,28.0,28.25,0,5137,1580981480.2321
1.78,1.42,0.95,0.68,3.3,29.0,28.25,0,5137,1580981480.87098
1.81,1.42,1.03,0.76,3.37,28.5,28.5,0,5137,1580981481.50595
1.9,1.44,1.12,0.76,3.39,28.5,28.5,0,5137,1580981482.14486
1.78,1.39,1.0,0.71,3.37,28.0,28.5,0,5137,1580981482.78376
1.86,1.42,1.0,0.73,3.37,29.75,28.75,0,5137,1580981483.4186802
1.78,1.34,1.0,0.73,3.37,29.75,29.0,0,5137,1580981484.05757
1.9,1.32,1.12,0.76,3.39,30.0,29.25,0,5137,1580981484.69656
1.88,1.32,1.03,0.76,3.37,30.25,29.25,0,5137,1580981485.33141
1.83,1.42,1.03,0.73,3.37,30.0,29.0,0,5137,1580981485.97031
1.9,1.39,1.12,0.73,3.39,30.0,29.0,0,5137,1580981486.60928
1.9,1.32,1.0,0.73,3.37,30.0,29.0,0,5137,1580981487.2441301
1.81,1.42,1.0,0.68,3.32,30.0,29.0,0,5137,1580981487.88306
1.83,1.39,1.03,0.73,3.3,30.25,29.25,0,5137,1580981488.52199
1.81,1.42,1.05,0.71,3.34,30.25,29.25,0,5137,1580981489.16092
1.9,1.44,1.03,0.68,3.3,30.25,29.25,0,5137,1580981489.79584
1.81,1.32,1.03,0.76,3.3,30.0,29.25,0,5137,1580981490.43471
1.9,1.34,1.03,0.73,3.37,30.0,29.0,0,5137,1580981491.07372
1.78,1.29,1.1,0.68,3.39,30.0,29.5,0,5137,1580981491.70855
1.78,1.29,1.0,0.73,3.3,30.25,29.25,0,5137,1580981492.3475099
1.88,1.42,1.1,0.78,3.39,30.25,29.25,0,5137,1580981492.9865
1.78,1.39,1.12,0.68,3.39,30.25,29.25,0,5137,1580981493.62127
1.81,1.32,1.03,0.78,3.3,30.25,29.5,0,5137,1580981494.2602198
1.86,1.39,1.0,0.73,3.34,30.25,29.5,0,5137,1580981494.89916
1.78,1.29,0.95,0.68,3.3,30.25,29.5,0,5137,1580981495.53809
1.83,1.39,1.05,0.73,3.37,30.25,29.5,0,5137,1580981496.17296
1.9,1.29,1.12,0.76,3.39,30.5,29.5,0,5137,1580981496.8119
1.78,1.39,1.0,0.73,3.37,30.25,29.5,0,5137,1580981497.4509199
1.88,1.34,1.05,0.71,3.39,30.5,29.5,0,5137,1580981498.0857801
1.81,1.44,1.03,0.76,3.34,30.0,29.25,0,5137,1580981498.72465
1.78,1.42,1.0,0.68,3.39,30.25,29.25,0,5137,1580981499.36359
1.9,1.32,1.05,0.78,3.39,30.25,29.25,0,5137,1580981499.99846
1.76,1.32,1.05,0.73,3.37,30.25,29.5,0,5137,1580981500.63741
1.9,1.42,1.0,0.68,3.37,30.25,29.5,0,5137,1580981501.2763698
1.78,1.29,1.05,0.73,3.39,30.25,29.75,0,5137,1580981501.91523
1.83,1.39,1.0,0.76,3.3,30.5,29.5,0,5137,1580981502.55019
1.9,1.42,1.12,0.76,3.39,30.5,29.5,0,5137,1580981503.18908
1.88,1.34,1.03,0.71,3.37,30.5,29.5,0,5137,1580981503.82803
1.9,1.42,1.12,0.68,3.39,30.5,29.5,0,5137,1580981504.46293
1.9,1.29,1.05,0.76,3.3,30.5,29.5,0,5137,1580981505.10179
1.88,1.32,1.05,0.76,3.39,30.5,29.5,0,5137,1580981505.74086
1.86,1.34,1.0,0.76,3.34,30.5,29.5,0,5137,1580981506.37568
1.86,1.42,1.0,0.73,3.3,30.5,29.5,0,5137,1580981507.0146
1.83,1.39,1.0,0.68,3.3,30.75,29.5,0,5137,1580981507.6535099
1.78,1.29,1.0,0.76,3.39,30.75,29.5,0,5137,1580981508.28835
1.81,1.32,1.03,0.76,3.34,30.75,29.5,0,5137,1580981508.92731
1.78,1.29,1.0,0.73,3.39,30.75,29.75,0,5137,1580981509.5662599
1.78,1.29,1.12,0.68,3.39,30.75,29.75,0,5137,1580981510.2052
1.9,1.42,1.12,0.68,3.39,31.0,29.5,0,5137,1580981510.8400302
1.78,1.42,1.03,0.78,3.3,30.75,29.75,0,5137,1580981511.47899
1.9,1.44,1.03,0.71,3.37,31.0,30.0,0,5137,1580981512.11799
1.9,1.42,1.12,0.76,3.39,31.0,29.75,0,5137,1580981512.75278
1.83,1.44,1.03,0.68,3.37,30.75,30.0,0,5137,1580981513.3917902
1.9,1.32,1.03,0.68,3.3,31.0,30.0,0,5137,1580981514.03066
1.9,1.29,1.12,0.68,3.39,31.0,30.25,0,5137,1580981514.66552
1.9,1.42,1.12,0.68,3.39,31.25,30.25,0,5137,1580981515.3045
1.78,1.29,0.95,0.68,3.3,31.0,30.25,0,5137,1580981515.94341
1.9,1.32,1.12,0.76,3.39,31.0,30.25,0,5137,1580981516.58234
1.81,1.32,1.03,0.76,3.34,31.25,30.25,0,5137,1580981517.21724
1.81,1.42,1.03,0.73,3.37,31.25,30.0,0,5137,1580981517.85619
1.83,1.39,1.12,0.76,3.39,31.0,30.0,0,5137,1580981518.49514
1.9,1.42,1.12,0.68,3.39,31.25,30.25,0,5137,1580981519.1299698
1.9,1.32,1.03,0.68,3.3,31.0,30.25,0,5137,1580981519.7689
1.78,1.29,1.12,0.73,3.39,31.0,30.25,0,5137,1580981520.4079401
1.88,1.39,1.05,0.73,3.39,31.25,30.25,0,5137,1580981521.04271
1.88,1.42,1.1,0.73,3.39,31.25,30.0,0,5137,1580981521.68165
1.9,1.42,0.95,0.68,3.3,31.25,30.25,0,5137,1580981522.3206
1.78,1.29,1.0,0.68,3.37,31.25,30.0,0,5137,1580981522.95953
1.78,1.42,1.0,0.73,3.37,31.25,30.25,0,5137,1580981523.59444
1.9,1.42,0.95,0.68,3.3,31.25,30.25,0,5137,1580981524.2334
